CT_NAME;CT_TYPE;CT_AUTHORS;CT_TITLE;CT_URL;CD_NOM;CT_SP_ID;URL_SP
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;4636;BED38F505F0B8509;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=BED38F505F0B8509
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2938;C7F1C08CB3F7F2DA;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=C7F1C08CB3F7F2DA
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2676;F3DA111CC8A6841B;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=F3DA111CC8A6841B
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2489;AB1CB2161CDC177A;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=AB1CB2161CDC177A
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3144;BCF9A19AFE372627;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=BCF9A19AFE372627
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3165;27903EF7E618A6A2;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=27903EF7E618A6A2
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3195;06B9BD243A756B28;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=06B9BD243A756B28
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2929;3A3C62BC935BDA72;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=3A3C62BC935BDA72
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;3582;66AA3934DBAD18BC;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=66AA3934DBAD18BC
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;2705;3D8F0A76A7CCD79F;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=3D8F0A76A7CCD79F
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;441894;BD902263BE371758;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=BD902263BE371758
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;441741;580A07F87A0B7108;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=580A07F87A0B7108
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;441890;BA6FDF30537079FE;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=BA6FDF30537079FE
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;441862;C01A22D6C148AC65;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=C01A22D6C148AC65
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442103;54EC52361E1D2262;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=54EC52361E1D2262
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442427;EB8F11B5962D476F;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=EB8F11B5962D476F
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442523;CF53912C22888A9B;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=CF53912C22888A9B
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;441995;66B55F55DA2B2CCD;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=66B55F55DA2B2CCD
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;441996;ED2905934DB209E7;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=ED2905934DB209E7
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442276;9BC43968E17EB3CB;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=9BC43968E17EB3CB
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442429;E717D2935F4094CC;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=E717D2935F4094CC
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442177;CE997BBDEBCC30DB;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=CE997BBDEBCC30DB
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442229;B2E68FE67FDC5E50;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=B2E68FE67FDC5E50
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442462;E0B5F9D3DC324D24;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=E0B5F9D3DC324D24
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;442388;88D7E68DB7827611;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=88D7E68DB7827611
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;441664;4D5DF222842B7088;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=4D5DF222842B7088
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;418830;ED21D49D56C16A25;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=ED21D49D56C16A25
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;418719;4E954D8F75EF3FA1;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=4E954D8F75EF3FA1
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;418755;F7DFA41B81518AC0;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=F7DFA41B81518AC0
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;418718;48B85E7224FD4901;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=48B85E7224FD4901
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;418885;076FBCACDF9336D5;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=076FBCACDF9336D5
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;418703;788EBCAB63213E04;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=788EBCAB63213E04
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;810012;355A160D7F41EC19;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=355A160D7F41EC19
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;810009;FF0F8A425E4C1A73;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=FF0F8A425E4C1A73
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;459478;E4BB82F50C488B8B;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=E4BB82F50C488B8B
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;459526;CEA5B6AA48218C8A;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=CEA5B6AA48218C8A
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;459460;0D88C072E71FE4B8;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=0D88C072E71FE4B8
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;459540;5F571C8A089382FB;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=5F571C8A089382FB
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;627761;4926BC8C8C3C7895;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=4926BC8C8C3C7895
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828784;6AA236DD9E0781A7;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=6AA236DD9E0781A7
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828890;6D372C9FC76F0075;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=6D372C9FC76F0075
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;829169;C8042551AC372A85;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=C8042551AC372A85
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828935;782EFCFA5697A041;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=782EFCFA5697A041
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828964;683E326BFAF30679;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=683E326BFAF30679
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828986;A5934B69263B2DAD;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=A5934B69263B2DAD
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828556;1D5FB06E4A6B9F46;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=1D5FB06E4A6B9F46
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;829013;ABCA4D8EAE68274A;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=ABCA4D8EAE68274A
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828850;5D730E2856254CAF;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=5D730E2856254CAF
Avibase;GSD;Lepage, D. (%Y);The world bird database;http://avibase.bsc-eoc.org/avibase.jsp?lang=FR;828840;C094437449D533A7;http://avibase.bsc-eoc.org/species.jsp?lang=FR&avibaseid=C094437449D533A7
